originalTransactionId,transactionId,productId,purchaseDate,expiresDate,transactionReason,priceMilli,priceDisplay,currency
430002164688001,430002968294188,169566_158677,1775351757000,1777943757000,RENEWAL,249000,249.0,TRY
230003188229942,230003326255814,169566_158677,1775333269000,1777925269000,RENEWAL,9990,9.99,EUR
450002353241585,450002873284099,169566_158677,1775338563000,1777930563000,RENEWAL,9990,9.99,EUR
580001071600781,580002120179368,169566_158677,1775332829000,1777924829000,RENEWAL,12990,12.99,CAD
340001554123120,340002584137722,169566_158677,1775332831000,1777924831000,RENEWAL,249000,249.0,TRY
120003005004193,120003647418728,169566_158677,1775335407000,1777927407000,RENEWAL,249000,249.0,TRY
90002665373573,90003168069878,169566_158677,1775249983000,1777841983000,RENEWAL,249000,249.0,TRY
120002532518680,120003647365673,169566_158677,1775333463000,1777925463000,RENEWAL,249000,249.0,TRY
410002646421847,410003138665724,169566_158677,1775335899000,1777927899000,RENEWAL,249000,249.0,TRY
210001806139731,210002876233936,169566_158677,1775336283000,1777928283000,RENEWAL,249000,249.0,TRY
300001616693640,300003041846979,169566_158677,1775334424000,1777926424000,RENEWAL,249000,249.0,TRY
160002977058959,160003295188513,169566_158677,1775335661000,1777927661000,RENEWAL,249000,249.0,TRY
720002170838166,720002469545502,169566_158677,1775335802000,1777927802000,RENEWAL,249000,249.0,TRY
520001739525865,520002743841865,169566_158677,1775334206000,1777926206000,RENEWAL,249000,249.0,TRY
520001828679065,520002743825038,169566_158677,1775333385000,1777925385000,RENEWAL,249000,249.0,TRY
570001439161859,570002519220721,169566_158677,1775333271000,1777925271000,RENEWAL,249000,249.0,TRY
490002359712559,490002794009194,169566_158677,1775333344000,1777925344000,RENEWAL,249000,249.0,TRY
230002044311150,230003326326297,169566_158677,1775307347000,1777899347000,RENEWAL,249000,249.0,TRY
520002148244134,520002743862402,169566_158677,1775335263000,1777927263000,RENEWAL,249000,249.0,TRY
540001676003893,540002503871025,169566_158677,1775333923000,1777925923000,RENEWAL,249000,249.0,TRY
220002550819659,220003251014990,169566_158677,1775332988000,1777924988000,RENEWAL,249000,249.0,TRY
190002835880799,190003316373695,169566_158677,1775333796000,1777925796000,RENEWAL,249000,249.0,TRY
560001481287977,560002513250232,169566_158677,1775333936000,1777925936000,RENEWAL,249000,249.0,TRY
290002143985020,290002937504017,169566_158677,1775335688000,1777927688000,RENEWAL,249000,249.0,TRY
470002578853266,470003156543924,169566_158677,1775335316000,1777927316000,RENEWAL,249000,249.0,TRY
200003270656074,200003283490688,169566_158677,1775333655000,1777925655000,RENEWAL,249000,249.0,TRY
250002080482316,250002753648371,169566_158677,1775335273000,1777927273000,RENEWAL,249000,249.0,TRY
110002136305678,110003397965699,169566_158677,1775333945000,1777925945000,RENEWAL,249000,249.0,TRY
110002390121609,110003398010766,169566_158677,1775335778000,1777927778000,RENEWAL,249000,249.0,TRY
710002675824432,710002710856122,169566_158677,1775304323000,1777896323000,RENEWAL,249000,249.0,TRY
360003018265022,360003030582904,169566_158677,1775334829000,1777926829000,RENEWAL,249000,249.0,TRY
380000771157229,380002367902934,169566_158677,1775334015000,1777926015000,RENEWAL,249000,249.0,TRY
570002276084209,570002519251741,169566_158677,1775335041000,1777927041000,RENEWAL,249000,249.0,TRY
360002343927498,360003030611258,169566_158677,1775336260000,1777928260000,RENEWAL,249000,249.0,TRY
710002094458821,710002710857554,169566_158677,1775333188000,1777925188000,RENEWAL,249000,249.0,TRY
400001756497185,400002153445314,169566_158677,1775333052000,1777925052000,RENEWAL,249000,249.0,TRY
550001669267026,550002882941012,169566_158677,1775082286000,1777674286000,RENEWAL,249000,249.0,TRY
550002208258904,550002888253845,169566_158677,1775338881000,1777930881000,RENEWAL,249000,249.0,TRY
